Entry,wormbase CDS,Entry name,fragment,Status,Protein names,Gene names,Organism,Length,Taxonomic lineage (ALL),Glycosylation,Transmembrane,Cross-reference (PDB),Sequence uncertainty,Sequence conflict,Sequence caution,Disulfide bond,Cross-reference (Pfam),Cross-reference (GeneID),Cross-reference (UniGene),Cross-reference (RefSeq),Cross-reference (GenBank),Cross-reference (WormBase)
G5ECU8,C01G8.2,G5ECU8_CAEEL,Err:504,unreviewed,Battenin,cln-3.2 C01G8.2 CELE_C01G8.2,Caenorhabditis elegans,435,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 16 36 Helical. {ECO:0000256|RuleBase:RU361113}.; TRANSMEM 68 87 Helical. {ECO:0000256|RuleBase:RU361113}.; TRANSMEM 149 170 Helical. {ECO:0000256|RuleBase:RU361113}.; TRANSMEM 182 202 Helical. {ECO:0000256|RuleBase:RU361113}.; TRANSMEM 340 360 Helical. {ECO:0000256|RuleBase:RU361113}.; TRANSMEM 367 386 Helical. {ECO:0000256|RuleBase:RU361113}.; TRANSMEM 406 426 Helical. {ECO:0000256|RuleBase:RU361113}.,,,,,,PF02487;,172171;,Cel.19339;,NP_491556.1;,,C01G8.2;
G5EDQ0,T27D12.2b,G5EDQ0_CAEEL,Err:504,unreviewed,Chloride channel protein,clh-1 CELE_T27D12.2 T27D12.2,Caenorhabditis elegans,902,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 125 146 Helical. {ECO:0000256|RuleBase:RU361221}.; TRANSMEM 166 191 Helical. {ECO:0000256|RuleBase:RU361221}.; TRANSMEM 276 300 Helical. {ECO:0000256|RuleBase:RU361221}.; TRANSMEM 360 380 Helical. {ECO:0000256|RuleBase:RU361221}.; TRANSMEM 401 419 Helical. {ECO:0000256|RuleBase:RU361221}.; TRANSMEM 476 496 Helical. {ECO:0000256|RuleBase:RU361221}.; TRANSMEM 503 525 Helical. {ECO:0000256|RuleBase:RU361221}.; TRANSMEM 537 561 Helical. {ECO:0000256|RuleBase:RU361221}.; TRANSMEM 568 589 Helical. {ECO:0000256|RuleBase:RU361221}.,,,,,,PF00571;PF00654;,174821;,Cel.17014;,NP_001022374.1;,,T27D12.2b;
O16448,C54F6.4,O16448_CAEEL,Err:504,unreviewed,Sugar transporter SWEET,swt-2 C54F6.4 CELE_C54F6.4,Caenorhabditis elegans,233,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 30 50 Helical. {ECO:0000256|RuleBase:RU910715}.; TRANSMEM 56 78 Helical. {ECO:0000256|RuleBase:RU910715}.; TRANSMEM 85 105 Helical. {ECO:0000256|RuleBase:RU910715}.; TRANSMEM 111 131 Helical. {ECO:0000256|RuleBase:RU910715}.; TRANSMEM 143 164 Helical. {ECO:0000256|RuleBase:RU910715}.; TRANSMEM 170 191 Helical. {ECO:0000256|RuleBase:RU910715}.,,,,,,,183804;,Cel.26199;,NP_504939.1;,,C54F6.4;
Q23334,ZC455.4,Q23334_CAEEL,Err:504,unreviewed,UDP-glucuronosyltransferase (EC 2.4.1.17),ugt-6 CELE_ZC455.4 ZC455.4,Caenorhabditis elegans,533,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 502 521 Helical. {ECO:0000256|RuleBase:RU362059}.,,,,,,PF00201;,179755;,Cel.1359;,NP_506202.1;,,ZC455.4;
P91266,F21F3.3,P91266_CAEEL,Err:504,unreviewed,Protein-S-isoprenylcysteine O-methyltransferase (EC 2.1.1.100),CELE_F21F3.3 F21F3.3,Caenorhabditis elegans,295,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 24 43 Helical. {ECO:0000256|RuleBase:RU362022}.; TRANSMEM 49 66 Helical. {ECO:0000256|RuleBase:RU362022}.; TRANSMEM 78 97 Helical. {ECO:0000256|RuleBase:RU362022}.; TRANSMEM 109 126 Helical. {ECO:0000256|RuleBase:RU362022}.; TRANSMEM 138 158 Helical. {ECO:0000256|RuleBase:RU362022}.; TRANSMEM 228 251 Helical. {ECO:0000256|RuleBase:RU362022}.,,,,,,PF04140;,172106;,Cel.18912;,NP_491473.1;,,F21F3.3;
Q18585,C43H6.7,Q18585_CAEEL,Err:504,unreviewed,Palmitoyltransferase (EC 2.3.1.225),dhhc-9 C43H6.7 CELE_C43H6.7,Caenorhabditis elegans,311,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 39 62 Helical. {ECO:0000256|RuleBase:RU079119}.; TRANSMEM 68 86 Helical. {ECO:0000256|RuleBase:RU079119}.; TRANSMEM 153 175 Helical. {ECO:0000256|RuleBase:RU079119}.; TRANSMEM 217 245 Helical. {ECO:0000256|RuleBase:RU079119}.,,,,,,PF01529;,183426;,Cel.11191;,NP_508435.2;,,C43H6.7;
F5GUB2,ZK287.2b,F5GUB2_CAEEL,Err:504,unreviewed,"SULP-8, isoform b",sulp-8 CELE_ZK287.2 ZK287.2,Caenorhabditis elegans,552,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 12 34 Helical. {ECO:0000256|RuleBase:RU362052}.; TRANSMEM 40 60 Helical. {ECO:0000256|RuleBase:RU362052}.; TRANSMEM 81 105 Helical. {ECO:0000256|RuleBase:RU362052}.; TRANSMEM 160 181 Helical. {ECO:0000256|RuleBase:RU362052}.; TRANSMEM 202 219 Helical. {ECO:0000256|RuleBase:RU362052}.; TRANSMEM 245 264 Helical. {ECO:0000256|RuleBase:RU362052}.; TRANSMEM 285 305 Helical. {ECO:0000256|RuleBase:RU362052}.; TRANSMEM 325 358 Helical. {ECO:0000256|RuleBase:RU362052}.; TRANSMEM 379 407 Helical. {ECO:0000256|RuleBase:RU362052}.,,,,,,PF01740;PF13792;PF00916;,179357;,Cel.36041;,NP_001256130.1;,,ZK287.2b;
U4PRL1,H06H21.10c,U4PRL1_CAEEL,Err:504,unreviewed,Phospholipid-transporting ATPase (EC 3.6.3.1),tat-2 CELE_H06H21.10 H06H21.10,Caenorhabditis elegans,1264,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 280 308 Helical. {ECO:0000256|RuleBase:RU362033}.; TRANSMEM 335 360 Helical. {ECO:0000256|RuleBase:RU362033}.; TRANSMEM 916 938 Helical. {ECO:0000256|RuleBase:RU362033}.; TRANSMEM 944 965 Helical. {ECO:0000256|RuleBase:RU362033}.; TRANSMEM 986 1012 Helical. {ECO:0000256|RuleBase:RU362033}.; TRANSMEM 1032 1052 Helical. {ECO:0000256|RuleBase:RU362033}.; TRANSMEM 1064 1089 Helical. {ECO:0000256|RuleBase:RU362033}.; TRANSMEM 1109 1131 Helical. {ECO:0000256|RuleBase:RU362033}.,,,,,,PF00122;,177256;,,NP_001294444.1;,,H06H21.10c;
Q7YTG8,F32D8.14a,Q7YTG8_CAEEL,Err:504,unreviewed,Protein YIPF,CELE_F32D8.14 F32D8.14,Caenorhabditis elegans,261,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 129 147 Helical. {ECO:0000256|RuleBase:RU361264}.; TRANSMEM 153 173 Helical. {ECO:0000256|RuleBase:RU361264}.; TRANSMEM 185 204 Helical. {ECO:0000256|RuleBase:RU361264}.; TRANSMEM 210 235 Helical. {ECO:0000256|RuleBase:RU361264}.; TRANSMEM 242 260 Helical. {ECO:0000256|RuleBase:RU361264}.,,,,,,PF04893;,179507;,Cel.18013;,NP_001256274.1;,,F32D8.14a;
Q21203,K04C1.1a,Q21203_CAEEL,Err:504,unreviewed,Serpentine receptor class gamma,srg-37 CELE_K04C1.1 K04C1.1,Caenorhabditis elegans,307,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 6 32 Helical. {ECO:0000256|RuleBase:RU280813}.; TRANSMEM 44 65 Helical. {ECO:0000256|RuleBase:RU280813}.; TRANSMEM 163 184 Helical. {ECO:0000256|RuleBase:RU280813}.; TRANSMEM 205 230 Helical. {ECO:0000256|RuleBase:RU280813}.,,,,,,PF02118;,186978;,Cel.40022;,NP_001257240.1;,,K04C1.1a;
B7CED8,Y67D8C.10d,B7CED8_CAEEL,Err:504,unreviewed,Calcium-transporting ATPase (EC 3.6.3.8),mca-3 CELE_Y67D8C.10 Y67D8C.10,Caenorhabditis elegans,1170,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 86 103 Helical. {ECO:0000256|RuleBase:RU361146}.; TRANSMEM 123 142 Helical. {ECO:0000256|RuleBase:RU361146}.; TRANSMEM 363 386 Helical. {ECO:0000256|RuleBase:RU361146}.; TRANSMEM 406 435 Helical. {ECO:0000256|RuleBase:RU361146}.; TRANSMEM 856 875 Helical. {ECO:0000256|RuleBase:RU361146}.; TRANSMEM 887 905 Helical. {ECO:0000256|RuleBase:RU361146}.; TRANSMEM 933 951 Helical. {ECO:0000256|RuleBase:RU361146}.; TRANSMEM 971 989 Helical. {ECO:0000256|RuleBase:RU361146}.; TRANSMEM 1009 1029 Helical. {ECO:0000256|RuleBase:RU361146}.; TRANSMEM 1041 1062 Helical. {ECO:0000256|RuleBase:RU361146}.,,,,,,PF12424;PF00689;PF00690;PF00122;PF00702;,177089;,Cel.17073;,NP_001255244.1;,,Y67D8C.10d;
X5LQ17,K02G10.5d,X5LQ17_CAEEL,Err:504,unreviewed,Solute carrier organic anion transporter family member,CELE_K02G10.5 K02G10.5,Caenorhabditis elegans,665,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 48 70 Helical. {ECO:0000256|RuleBase:RU362056}.; TRANSMEM 90 111 Helical. {ECO:0000256|RuleBase:RU362056}.; TRANSMEM 118 135 Helical. {ECO:0000256|RuleBase:RU362056}.; TRANSMEM 176 202 Helical. {ECO:0000256|RuleBase:RU362056}.; TRANSMEM 214 240 Helical. {ECO:0000256|RuleBase:RU362056}.; TRANSMEM 260 284 Helical. {ECO:0000256|RuleBase:RU362056}.; TRANSMEM 329 348 Helical. {ECO:0000256|RuleBase:RU362056}.; TRANSMEM 368 388 Helical. {ECO:0000256|RuleBase:RU362056}.; TRANSMEM 400 420 Helical. {ECO:0000256|RuleBase:RU362056}.; TRANSMEM 512 533 Helical. {ECO:0000256|RuleBase:RU362056}.; TRANSMEM 554 573 Helical. {ECO:0000256|RuleBase:RU362056}.; TRANSMEM 600 623 Helical. {ECO:0000256|RuleBase:RU362056}.,,,,,,PF03137;,180742;,,NP_001294797.1;,,K02G10.5d;
U4PDY0,Y54G2A.77,U4PDY0_CAEEL,Err:504,unreviewed,Serpentine receptor class gamma,CELE_Y54G2A.77 Y54G2A.77,Caenorhabditis elegans,323,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 6 27 Helical. {ECO:0000256|RuleBase:RU280813}.; TRANSMEM 39 56 Helical. {ECO:0000256|RuleBase:RU280813}.; TRANSMEM 91 112 Helical. {ECO:0000256|RuleBase:RU280813}.; TRANSMEM 133 160 Helical. {ECO:0000256|RuleBase:RU280813}.; TRANSMEM 180 208 Helical. {ECO:0000256|RuleBase:RU280813}.; TRANSMEM 220 243 Helical. {ECO:0000256|RuleBase:RU280813}.; TRANSMEM 255 277 Helical. {ECO:0000256|RuleBase:RU280813}.,,,,,,PF02118;,24105157;,,NP_001294269.1;,,Y54G2A.77;
Q21157,K02G10.5a,Q21157_CAEEL,Err:504,unreviewed,Solute carrier organic anion transporter family member,CELE_K02G10.5 K02G10.5,Caenorhabditis elegans,655,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 48 70 Helical. {ECO:0000256|RuleBase:RU362056}.; TRANSMEM 90 111 Helical. {ECO:0000256|RuleBase:RU362056}.; TRANSMEM 118 135 Helical. {ECO:0000256|RuleBase:RU362056}.; TRANSMEM 176 202 Helical. {ECO:0000256|RuleBase:RU362056}.; TRANSMEM 214 240 Helical. {ECO:0000256|RuleBase:RU362056}.; TRANSMEM 260 284 Helical. {ECO:0000256|RuleBase:RU362056}.; TRANSMEM 329 348 Helical. {ECO:0000256|RuleBase:RU362056}.; TRANSMEM 368 388 Helical. {ECO:0000256|RuleBase:RU362056}.; TRANSMEM 400 420 Helical. {ECO:0000256|RuleBase:RU362056}.; TRANSMEM 512 533 Helical. {ECO:0000256|RuleBase:RU362056}.; TRANSMEM 554 573 Helical. {ECO:0000256|RuleBase:RU362056}.; TRANSMEM 600 623 Helical. {ECO:0000256|RuleBase:RU362056}.,,,,,,PF03137;,180742;,Cel.748;,NP_508802.1;,,K02G10.5a;
Q7K7S6,Y6E2A.9a,Q7K7S6_CAEEL,Err:504,unreviewed,Sideroflexin,sfxn-1.3 CELE_Y6E2A.9 Y6E2A.9,Caenorhabditis elegans,329,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 151 172 Helical. {ECO:0000256|RuleBase:RU362000}.; TRANSMEM 274 294 Helical. {ECO:0000256|RuleBase:RU362000}.,,,,,,PF03820;,180055;,Cel.1952;,NP_001024281.1;,,Y6E2A.9a;
H2KYQ0,C10H11.6a,H2KYQ0_CAEEL,Err:504,unreviewed,UDP-glucuronosyltransferase (EC 2.4.1.17),ugt-26 C10H11.6 CELE_C10H11.6,Caenorhabditis elegans,529,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 498 521 Helical. {ECO:0000256|RuleBase:RU362059}.,,,,,,PF00201;,172085;,Cel.7606;,NP_491435.2;,,C10H11.6a;
Q19222,F08G5.5a,Q19222_CAEEL,Err:504,unreviewed,UDP-glucuronosyltransferase (EC 2.4.1.17),ugt-65 CELE_F08G5.5 F08G5.5,Caenorhabditis elegans,509,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 488 506 Helical. {ECO:0000256|RuleBase:RU362059}.,,,,,,PF00201;,184205;,Cel.25211;,NP_502373.3;,,F08G5.5a;
H2KYE9,D2021.2a,H2KYE9_CAEEL,Err:504,unreviewed,Palmitoyltransferase (EC 2.3.1.225),dhhc-14 CELE_D2021.2 D2021.2,Caenorhabditis elegans,565,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 269 287 Helical. {ECO:0000256|RuleBase:RU079119}.; TRANSMEM 293 314 Helical. {ECO:0000256|RuleBase:RU079119}.; TRANSMEM 321 342 Helical. {ECO:0000256|RuleBase:RU079119}.; TRANSMEM 348 368 Helical. {ECO:0000256|RuleBase:RU079119}.; TRANSMEM 444 463 Helical. {ECO:0000256|RuleBase:RU079119}.; TRANSMEM 483 505 Helical. {ECO:0000256|RuleBase:RU079119}.,,,,,,PF12796;PF01529;,181109;,Cel.30613;,NP_001024514.2;,,D2021.2a;
F3Y5R4,Y47D3A.30a,F3Y5R4_CAEEL,Err:504,unreviewed,Elongation of very long chain fatty acids protein (EC 2.3.1.199) (Very-long-chain 3-oxoacyl-CoA synthase),elo-8 CELE_Y47D3A.30 Y47D3A.30,Caenorhabditis elegans,292,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 12 34 Helical. {ECO:0000256|RuleBase:RU361115}.; TRANSMEM 46 66 Helical. {ECO:0000256|RuleBase:RU361115}.; TRANSMEM 72 98 Helical. {ECO:0000256|RuleBase:RU361115}.; TRANSMEM 118 136 Helical. {ECO:0000256|RuleBase:RU361115}.; TRANSMEM 142 161 Helical. {ECO:0000256|RuleBase:RU361115}.; TRANSMEM 173 197 Helical. {ECO:0000256|RuleBase:RU361115}.; TRANSMEM 209 231 Helical. {ECO:0000256|RuleBase:RU361115}.,,,,,,PF01151;,259739;,Cel.25065;,NP_001255110.1;,,Y47D3A.30a;
G5ECZ2,W06A7.3c,G5ECZ2_CAEEL,Err:504,unreviewed,Reticulon-like protein,ret-1 CELE_W06A7.3 W06A7.3,Caenorhabditis elegans,3299,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 3139 3156 Helical. {ECO:0000256|RuleBase:RU210713}.; TRANSMEM 3222 3248 Helical. {ECO:0000256|RuleBase:RU210713}.,,,,,,PF02453;,179981;,Cel.2009;,NP_506656.2;,,W06A7.3c;
Q8IG52,C16E9.4b,Q8IG52_CAEEL,Err:504,unreviewed,Innexin,inx-1 inx C16E9.4 CELE_C16E9.4,Caenorhabditis elegans,383,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 99 121 Helical. {ECO:0000256|RuleBase:RU010713}.; TRANSMEM 187 209 Helical. {ECO:0000256|RuleBase:RU010713}.; TRANSMEM 280 303 Helical. {ECO:0000256|RuleBase:RU010713}.,,,,,,PF00876;,180968;,Cel.17935;,NP_001024407.1;,,C16E9.4b;
Q21603,M88.1,Q21603_CAEEL,Err:504,unreviewed,UDP-glucuronosyltransferase (EC 2.4.1.17),ugt-62 CELE_M88.1 M88.1,Caenorhabditis elegans,531,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 485 507 Helical. {ECO:0000256|RuleBase:RU362059}.,,,,,,PF00201;,175591;,Cel.10260;,NP_497918.1;,,M88.1;
Q23188,W06A7.3b,Q23188_CAEEL,Err:504,unreviewed,Reticulon-like protein,ret-1 CELE_W06A7.3 W06A7.3,Caenorhabditis elegans,222,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 40 56 Helical. {ECO:0000256|RuleBase:RU210713}.; TRANSMEM 145 171 Helical. {ECO:0000256|RuleBase:RU210713}.,,,,,,PF02453;,179981;,Cel.2009;,NP_506658.1;,,W06A7.3b;
O62421,Y32F6B.1,O62421_CAEEL,Err:504,unreviewed,Solute carrier organic anion transporter family member,CELE_Y32F6B.1 Y32F6B.1,Caenorhabditis elegans,758,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 6 32 Helical. {ECO:0000256|RuleBase:RU362056}.; TRANSMEM 44 65 Helical. {ECO:0000256|RuleBase:RU362056}.; TRANSMEM 71 95 Helical. {ECO:0000256|RuleBase:RU362056}.; TRANSMEM 224 242 Helical. {ECO:0000256|RuleBase:RU362056}.; TRANSMEM 263 287 Helical. {ECO:0000256|RuleBase:RU362056}.; TRANSMEM 307 333 Helical. {ECO:0000256|RuleBase:RU362056}.; TRANSMEM 398 418 Helical. {ECO:0000256|RuleBase:RU362056}.; TRANSMEM 438 456 Helical. {ECO:0000256|RuleBase:RU362056}.; TRANSMEM 468 485 Helical. {ECO:0000256|RuleBase:RU362056}.; TRANSMEM 599 617 Helical. {ECO:0000256|RuleBase:RU362056}.; TRANSMEM 629 648 Helical. {ECO:0000256|RuleBase:RU362056}.,,,,,,PF03137;,179463;,Cel.1898;,NP_505689.1;,,Y32F6B.1;
Q2Z1N7,Y25C1A.7a,Q2Z1N7_CAEEL,Err:504,unreviewed,Protein YIPF,CELE_Y25C1A.7 Y25C1A.7,Caenorhabditis elegans,277,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 110 130 Helical. {ECO:0000256|RuleBase:RU361264}.; TRANSMEM 150 168 Helical. {ECO:0000256|RuleBase:RU361264}.; TRANSMEM 180 201 Helical. {ECO:0000256|RuleBase:RU361264}.; TRANSMEM 207 228 Helical. {ECO:0000256|RuleBase:RU361264}.; TRANSMEM 240 262 Helical. {ECO:0000256|RuleBase:RU361264}.,,,,,,PF04893;,173654;,Cel.7362;,NP_494438.2;,,Y25C1A.7a;
Q21981,R13F6.5,Q21981_CAEEL,Err:504,unreviewed,Palmitoyltransferase (EC 2.3.1.225),dhhc-5 CELE_R13F6.5 R13F6.5,Caenorhabditis elegans,244,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 12 32 Helical. {ECO:0000256|RuleBase:RU079119}.; TRANSMEM 38 58 Helical. {ECO:0000256|RuleBase:RU079119}.; TRANSMEM 126 147 Helical. {ECO:0000256|RuleBase:RU079119}.; TRANSMEM 167 187 Helical. {ECO:0000256|RuleBase:RU079119}.,,,,,,PF01529;,187870;,Cel.10174;,NP_498488.2;,,R13F6.5;
O18182,W09D10.2,O18182_CAEEL,Err:504,unreviewed,Phospholipid-transporting ATPase (EC 3.6.3.1),tat-3 CELE_W09D10.2 W09D10.2,Caenorhabditis elegans,1411,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 131 148 Helical. {ECO:0000256|RuleBase:RU362033}.; TRANSMEM 363 385 Helical. {ECO:0000256|RuleBase:RU362033}.; TRANSMEM 426 448 Helical. {ECO:0000256|RuleBase:RU362033}.; TRANSMEM 1139 1159 Helical. {ECO:0000256|RuleBase:RU362033}.; TRANSMEM 1171 1191 Helical. {ECO:0000256|RuleBase:RU362033}.; TRANSMEM 1221 1243 Helical. {ECO:0000256|RuleBase:RU362033}.; TRANSMEM 1255 1273 Helical. {ECO:0000256|RuleBase:RU362033}.; TRANSMEM 1285 1308 Helical. {ECO:0000256|RuleBase:RU362033}.; TRANSMEM 1328 1346 Helical. {ECO:0000256|RuleBase:RU362033}.,,,,,,PF00122;PF00702;,176498;,Cel.9919;,NP_499363.3;,,W09D10.2;
G5EDL2,ZK757.4d,G5EDL2_CAEEL,Err:504,unreviewed,Palmitoyltransferase (EC 2.3.1.225),dhhc-4 CELE_ZK757.4 ZK757.4,Caenorhabditis elegans,382,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 12 36 Helical. {ECO:0000256|RuleBase:RU079119}.; TRANSMEM 56 77 Helical. {ECO:0000256|RuleBase:RU079119}.; TRANSMEM 176 196 Helical. {ECO:0000256|RuleBase:RU079119}.; TRANSMEM 216 238 Helical. {ECO:0000256|RuleBase:RU079119}.,,,,,,PF01529;,191420;,Cel.9515;,NP_001255040.1;,,ZK757.4d;
O16276,F39G3.1,O16276_CAEEL,Err:504,unreviewed,UDP-glucuronosyltransferase (EC 2.4.1.17),ugt-61 CELE_F39G3.1 F39G3.1,Caenorhabditis elegans,530,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Rhabditoidea, Rhabditidae, Peloderinae, Caenorhabditis, Caenorhabditis elegans",,TRANSMEM 493 516 Helical. {ECO:0000256|RuleBase:RU362059}.,,,,,,PF00201;,185500;,Cel.17831;,NP_504274.2;,,F39G3.1;
